"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.321833304E0,-2.814769983E0,5.727419853E-1,1.733413696E0,3.354949550E0
1.326811898E0,-2.758946896E0,4.285960197E-1,1.954671860E0,3.408258294E0
1.331790543E0,-2.626899242E0,2.054626942E-1,2.133523941E0,3.390389204E0
1.336762991E0,-2.414699316E0,-1.954483986E-1,2.279466629E0,3.326400604E0
1.341741637E0,-2.237807274E0,-6.151053905E-1,2.452132225E0,3.376253617E0
1.346720283E0,-2.125900984E0,-1.017149568E0,2.670430183E0,3.561635242E0
1.351698929E0,-2.060972691E0,-1.432969570E0,2.843656540E0,3.793071676E0
1.356677523E0,-2.018030882E0,-1.741882086E0,3.094068527E0,4.084098663E0
1.361656168E0,-1.819328308E0,-1.985788107E0,3.199643135E0,4.182227408E0
1.366628668E0,-1.723380804E0,-2.135846376E0,3.318994522E0,4.306693137E0
1.371607314E0,-1.581327677E0,-2.233016253E0,3.533940315E0,4.469417519E0
1.376585960E0,-1.447679520E0,-2.276855230E0,3.426838875E0,4.361544498E0
1.381564606E0,-1.363156796E0,-2.285736084E0,3.147052765E0,4.121495724E0
1.386543200E0,-1.240190744E0,-2.223228455E0,2.879317284E0,3.843343058E0
1.391521846E0,-1.161610603E0,-2.188100338E0,2.454150200E0,3.487115640E0
1.396494293E0,-1.090107441E0,-2.068226337E0,1.950804710E0,3.044919282E0
1.401472939E0,-1.039138556E0,-1.778110981E0,1.543867111E0,2.573910110E0
1.406451585E0,-9.167484045E-1,-1.517846107E0,8.960771561E-1,1.986765893E0
1.411430231E0,-8.903157711E-1,-1.345922232E0,6.270503998E-2,1.614961531E0
1.416408825E0,-9.138736129E-1,-1.175322175E0,-5.309190750E-1,1.580639826E0
1.421387471E0,-9.119046330E-1,-9.861688614E-1,-8.666505814E-1,1.598493764E0
1.426359971E0,-8.231460452E-1,-8.440268040E-1,-1.389791012E0,1.822489976E0
1.431338616E0,-9.245304465E-1,-6.593053341E-1,-1.758615494E0,2.093362970E0
1.436317262E0,-8.280998468E-1,-5.742290020E-1,-2.004964352E0,2.243963091E0
1.441295908E0,-7.724638581E-1,-4.465239048E-1,-2.139055252E0,2.317680172E0
1.446274502E0,-6.495241523E-1,-3.401889801E-1,-2.166190147E0,2.286917122E0
1.451253148E0,-6.446943879E-1,-2.475636005E-1,-2.086787224E0,2.198089968E0
1.456225596E0,-5.564446449E-1,-2.496972084E-1,-1.944163799E0,2.037584898E0
1.461204241E0,-4.399661422E-1,-3.582179546E-1,-1.879383564E0,1.963153812E0
1.466182887E0,-3.784056306E-1,-4.247410297E-1,-1.705946445E0,1.798290588E0
1.471161533E0,-1.879215837E-1,-5.755376816E-1,-1.558036327E0,1.671536820E0
1.476140127E0,-3.664189577E-2,-7.335569859E-1,-1.423772812E0,1.602054150E0
1.481118773E0,7.243680954E-2,-8.321096897E-1,-9.710960388E-1,1.280890762E0
1.486091273E0,2.773242295E-1,-9.314662218E-1,-4.849224091E-1,1.086134335E0
1.491069918E0,4.506180882E-1,-1.046123981E0,-1.730318069E-1,1.152116336E0
1.496048564E0,5.256463289E-1,-1.181670427E0,1.301584244E-1,1.299842405E0
1.501027210E0,5.542979240E-1,-1.238824248E0,5.635538101E-1,1.469532104E0
1.506005804E0,6.398460269E-1,-1.412005067E0,8.404903412E-1,1.763401616E0
1.510984450E0,6.995968819E-1,-1.649049878E0,8.852157593E-1,1.998101158E0
1.515956898E0,6.588918567E-1,-1.805120945E0,9.279155731E-1,2.133923011E0
1.520935543E0,5.712479949E-1,-1.814807534E0,1.035795212E0,2.166269230E0
1.525914189E0,4.966076910E-1,-1.762900949E0,1.001119614E0,2.087266019E0
1.530892835E0,5.381953120E-1,-1.738245249E0,6.810426712E-1,1.942928166E0
1.535871429E0,4.745851457E-1,-1.683653474E0,2.960882187E-1,1.774144389E0
1.540850075E0,4.416749477E-1,-1.611325741E0,-5.327987671E-2,1.671611841E0
1.545822627E0,3.903508186E-1,-1.547074318E0,-5.059108734E-1,1.673845429E0
1.550800439E0,3.008827567E-1,-1.409545898E0,-8.634128571E-1,1.680128517E0
1.555778252E0,3.216501772E-1,-1.342116952E0,-1.164326668E0,1.805655930E0
